global_capture,point_index,pulse,x_target_nm,y_target_nm,x_nm,y_nm,peak_intensity_mV
,110,2,1250000,1000000,-1882.3818897637796,0.0,236.83562992125985
,110,3,1250000,1000000,-9411.909448818898,0.0,631.7667322834645
,111,1,-1250000,1250000,0.0,0.0,631.7667322834645
,111,2,-1250000,1250000,-5647.145669291339,0.0,236.83562992125985
,111,3,-1250000,1250000,1882.3818897637796,0.0,631.7667322834645
,112,1,-1000000,1250000,-7529.527559055118,0.0,631.7667322834645
,112,2,-1000000,1250000,-9411.909448818898,0.0,236.83562992125985
,112,3,-1000000,1250000,0.0,0.0,710.5068897637796
,113,1,-750000,1250000,-5647.145669291339,-3779.527559055118,631.7667322834645
,113,2,-750000,1250000,-1882.3818897637796,0.0,236.83562992125985
,113,3,-750000,1250000,0.0,0.0,631.7667322834645
,114,1,-500000,1250000,0.0,0.0,631.7667322834645
,114,2,-500000,1250000,-5647.145669291339,0.0,315.88336614173227
,114,3,-500000,1250000,-7529.527559055118,-3779.527559055118,631.7667322834645
,115,1,-250000,1250000,-1882.3818897637796,0.0,631.7667322834645
,115,2,-250000,1250000,-1882.3818897637796,-3779.527559055118,236.83562992125985
,115,3,-250000,1250000,-3764.763779527559,0.0,631.7667322834645
,116,1,0,1250000,0.0,0.0,710.5068897637796
,116,2,0,1250000,0.0,0.0,236.83562992125985
,116,3,0,1250000,-1882.3818897637796,0.0,631.7667322834645
,117,1,250000,1250000,-1882.3818897637796,0.0,631.7667322834645
,117,2,250000,1250000,-7529.527559055118,0.0,236.83562992125985
,117,3,250000,1250000,-1882.3818897637796,0.0,631.7667322834645
,118,1,500000,1250000,-1882.3818897637796,0.0,631.7667322834645
,118,2,500000,1250000,-1882.3818897637796,0.0,236.83562992125985
,118,3,500000,1250000,-3764.763779527559,0.0,631.7667322834645
,119,1,750000,1250000,-1882.3818897637796,0.0,552.7189960629921
,119,2,750000,1250000,0.0,0.0,236.83562992125985
,119,3,750000,1250000,0.0,0.0,631.7667322834645
,120,1,1000000,1250000,-1882.3818897637796,0.0,631.7667322834645
,120,2,1000000,1250000,-7529.527559055118,0.0,236.83562992125985
,120,3,1000000,1250000,-3764.763779527559,0.0,631.7667322834645
,121,1,1250000,1250000,-5647.145669291339,0.0,631.7667322834645
,121,2,1250000,1250000,-1882.3818897637796,0.0,236.83562992125985
,121,3,1250000,1250000,-5647.145669291339,0.0,631.7667322834645
